date,premise_code,item_code,price
1/02/2024,2,18,6
1/02/2024,3,18,10.5
1/02/2024,183,18,7.5
1/02/2024,234,18,4
1/02/2024,261,18,6.99
1/02/2024,322,18,5.8
1/02/2024,342,18,7
1/02/2024,351,18,6.99
1/02/2024,354,18,6
1/02/2024,364,18,4
1/02/2024,368,18,6.5
1/02/2024,382,18,6.5
1/02/2024,431,18,7
1/02/2024,433,18,6
1/02/2024,434,18,6
1/02/2024,439,18,5.99
1/02/2024,524,18,7
1/02/2024,529,18,6
1/02/2024,569,18,6.9
1/02/2024,588,18,6.99
1/02/2024,591,18,4.88
1/02/2024,600,18,6.5
1/02/2024,656,18,5.9
1/02/2024,660,18,6.5
1/02/2024,720,18,6.5
1/02/2024,725,18,6.9
1/02/2024,729,18,7.9
1/02/2024,766,18,6
1/02/2024,777,18,7
1/02/2024,864,18,7.3
1/02/2024,907,18,6.99
1/02/2024,930,18,7.29
1/02/2024,1053,18,6
1/02/2024,1054,18,6.49
1/02/2024,1133,18,6
1/02/2024,1135,18,5.99
1/02/2024,1137,18,7.39
1/02/2024,1164,18,6
1/02/2024,1170,18,6
1/02/2024,1212,18,6.5
1/02/2024,1259,18,6.99
1/02/2024,1267,18,6
1/02/2024,1284,18,7
1/02/2024,1324,18,5.5
1/02/2024,1361,18,6.99
1/02/2024,1517,18,6
1/02/2024,1527,18,6.9
1/02/2024,1652,18,5
1/02/2024,1713,18,6
1/02/2024,1789,18,6.5
1/02/2024,1815,18,5
1/02/2024,1826,18,4.5
1/02/2024,1959,18,6.5
1/02/2024,1960,18,7.5
1/02/2024,1961,18,6.5
1/02/2024,1962,18,6.9
1/02/2024,1972,18,7.5
1/02/2024,1980,18,6.58
1/02/2024,2007,18,6
1/02/2024,2034,18,6.99
1/02/2024,2048,18,7.5
1/02/2024,2062,18,8
1/02/2024,2161,18,7
1/02/2024,2213,18,6
1/02/2024,2280,18,8.5
1/02/2024,2510,18,7
1/02/2024,2517,18,5
1/02/2024,2554,18,5.9
1/02/2024,2560,18,7.39
1/02/2024,2612,18,5.9
1/02/2024,2623,18,5
1/02/2024,2641,18,5
1/02/2024,2661,18,6
1/02/2024,2670,18,5.99
1/02/2024,2685,18,6
1/02/2024,2772,18,6.9
1/02/2024,2775,18,6.5
1/02/2024,2955,18,6.5
1/02/2024,2983,18,4
1/02/2024,2984,18,6.99
1/02/2024,2993,18,5
1/02/2024,3041,18,6.99
1/02/2024,3051,18,5
1/02/2024,3103,18,7.49
1/02/2024,3178,18,8.9
1/02/2024,3214,18,6.9
1/02/2024,3251,18,8
1/02/2024,3265,18,6.5
1/02/2024,3302,18,7
1/02/2024,3318,18,7.9
1/02/2024,3336,18,7.5
1/02/2024,3346,18,6.5
1/02/2024,3359,18,6.5
1/02/2024,3399,18,7
1/02/2024,3444,18,6.99
1/02/2024,3541,18,7
1/02/2024,3587,18,7.8
1/02/2024,3662,18,5
1/02/2024,3692,18,7.5
1/02/2024,3702,18,5
1/02/2024,3725,18,5
1/02/2024,3770,18,7
1/02/2024,3870,18,6
1/02/2024,3901,18,6.99
1/02/2024,3904,18,8.9
1/02/2024,4069,18,8.5
1/02/2024,4110,18,7
1/02/2024,4118,18,6
1/02/2024,4129,18,7
1/02/2024,4195,18,5
1/02/2024,4197,18,7
1/02/2024,4205,18,7.99
1/02/2024,4231,18,6.5
1/02/2024,4296,18,6.8
1/02/2024,4304,18,8.9
1/02/2024,4313,18,5
1/02/2024,4315,18,7.99
1/02/2024,4387,18,7.5
1/02/2024,4496,18,6.5
1/02/2024,4505,18,6.5
1/02/2024,4507,18,6
1/02/2024,4547,18,6.5
1/02/2024,4633,18,7
1/02/2024,4648,18,7.5
1/02/2024,4664,18,6
1/02/2024,4667,18,6.5
1/02/2024,4767,18,6
1/02/2024,4970,18,6
1/02/2024,5086,18,7
1/02/2024,5179,18,7.99
1/02/2024,5190,18,7
1/02/2024,5221,18,6
1/02/2024,5257,18,6.5
1/02/2024,5325,18,6.99
1/02/2024,5377,18,7.99
1/02/2024,5414,18,6.99
1/02/2024,5433,18,7.49
1/02/2024,5488,18,6.99
1/02/2024,5532,18,6
1/02/2024,5816,18,7
1/02/2024,5823,18,6.99
1/02/2024,5836,18,6
1/02/2024,5857,18,6.99
1/02/2024,5870,18,5.9
1/02/2024,5880,18,7
1/02/2024,5895,18,7.5
1/02/2024,5980,18,7
1/02/2024,6136,18,4
1/02/2024,6525,18,7.5
1/02/2024,6941,18,8.5
1/02/2024,6961,18,7
1/02/2024,7014,18,6
1/02/2024,7040,18,6.99
1/02/2024,7280,18,5.99
1/02/2024,7283,18,6.5
1/02/2024,7349,18,6.9
1/02/2024,7472,18,6
1/02/2024,7826,18,8
1/02/2024,7922,18,7.5
1/02/2024,7961,18,6
1/02/2024,7983,18,7
1/02/2024,7995,18,7
1/02/2024,7997,18,7
1/02/2024,8176,18,7
1/02/2024,8359,18,8
1/02/2024,8757,18,7
1/02/2024,8908,18,6.5
1/02/2024,9214,18,7.5
1/02/2024,9548,18,6.99
1/02/2024,9944,18,6
1/02/2024,10131,18,6.9
1/02/2024,10197,18,6.5
1/02/2024,10203,18,6.99
1/02/2024,11222,18,7.49
1/02/2024,11509,18,7.5
1/02/2024,11511,18,6.99
1/02/2024,11536,18,6
1/02/2024,11537,18,7.5
1/02/2024,11540,18,6.99
1/02/2024,11551,18,6
1/02/2024,11586,18,6
1/02/2024,11588,18,6.99
1/02/2024,11616,18,6
1/02/2024,11617,18,7
1/02/2024,11627,18,6.5
1/02/2024,11631,18,6.5
1/02/2024,11677,18,6
1/02/2024,11703,18,6.3
1/02/2024,11726,18,5
1/02/2024,11728,18,7
1/02/2024,11737,18,6.5
1/02/2024,11786,18,6.5
1/02/2024,11874,18,7
1/02/2024,11893,18,6
1/02/2024,11956,18,6.5
1/02/2024,12000,18,6
1/02/2024,12002,18,7.5
1/02/2024,12024,18,6.5
1/02/2024,12025,18,7.39
1/02/2024,12028,18,7
1/02/2024,12352,18,6.99
1/02/2024,12713,18,6.99
1/02/2024,12740,18,7
1/02/2024,12742,18,6.99
1/02/2024,12755,18,6.99
1/02/2024,13081,18,6.5
1/02/2024,13120,18,6.99
1/02/2024,13526,18,7.3
1/02/2024,13715,18,7.99
1/02/2024,13788,18,6.9
1/02/2024,14237,18,6.99
1/02/2024,14406,18,6.2
1/02/2024,14474,18,6.99
1/02/2024,14564,18,6.49
1/02/2024,14657,18,7
1/02/2024,14661,18,8.9
1/02/2024,14811,18,9.2
1/02/2024,14840,18,6.9
1/02/2024,14869,18,7.39
1/02/2024,14964,18,6.99
1/02/2024,15112,18,7
1/02/2024,15118,18,7
1/02/2024,15123,18,6.99
1/02/2024,15192,18,6.5
1/02/2024,15382,18,6.69
1/02/2024,15476,18,7.99
1/02/2024,15524,18,6.5
1/02/2024,15537,18,6
1/02/2024,15563,18,6
1/02/2024,15664,18,6.99
1/02/2024,15707,18,6.99
1/02/2024,15750,18,8.9
1/02/2024,15880,18,6.5
1/02/2024,15936,18,5.99
1/02/2024,15964,18,7.5
1/02/2024,16104,18,6.99
1/02/2024,16193,18,6
1/02/2024,16343,18,6.99
1/02/2024,16388,18,6
1/02/2024,16389,18,6.99
1/02/2024,16391,18,6.2
1/02/2024,16460,18,6.99
1/02/2024,16482,18,6.99
1/02/2024,16483,18,6.5
1/02/2024,16519,18,5.99
1/02/2024,16547,18,7.99
1/02/2024,17035,18,6.49
1/02/2024,17036,18,6.99
1/02/2024,17046,18,7.99
1/02/2024,17096,18,7
1/02/2024,17100,18,7.99
1/02/2024,17102,18,6.99
1/02/2024,17168,18,5.99
1/02/2024,17217,18,5.9
1/02/2024,17228,18,5.49
1/02/2024,17391,18,6.9
1/02/2024,17399,18,6.99
1/02/2024,17422,18,7.99
1/02/2024,17428,18,5
1/02/2024,17460,18,5.99
1/02/2024,17466,18,6.5
1/02/2024,17488,18,5.79
1/02/2024,17636,18,5.99
1/02/2024,17641,18,7.99
1/02/2024,17657,18,6.99
1/02/2024,17685,18,7.25
1/02/2024,17734,18,7.49
1/02/2024,17741,18,6.8
1/02/2024,17777,18,7.3
1/02/2024,17796,18,6.5
1/02/2024,17871,18,7.2
1/02/2024,17892,18,6.99
1/02/2024,17943,18,6.99
1/02/2024,17975,18,4.9
1/02/2024,17980,18,6.99
1/02/2024,17982,18,7
1/02/2024,18044,18,6.99
1/02/2024,18063,18,6.99
1/02/2024,18094,18,6.99
1/02/2024,18116,18,6.99
1/02/2024,18132,18,7.39
1/02/2024,18135,18,2.99
1/02/2024,18144,18,5.99
1/02/2024,18160,18,7.1
1/02/2024,18164,18,7.49
1/02/2024,18170,18,5
1/02/2024,18184,18,7.49
1/02/2024,18185,18,6.99
1/02/2024,18192,18,7.99
1/02/2024,18198,18,7.99
1/02/2024,18201,18,6.99
1/02/2024,18319,18,6.99
1/02/2024,18337,18,7.99
1/02/2024,18340,18,5.9
1/02/2024,18349,18,7.39
1/02/2024,18410,18,7.5
1/02/2024,18457,18,5.5
1/02/2024,18471,18,6.99
1/02/2024,18475,18,6.99
1/02/2024,18477,18,6.99
1/02/2024,18478,18,6.99
1/02/2024,18480,18,7.49
1/02/2024,18492,18,6.99
1/02/2024,18539,18,5
1/02/2024,18541,18,7.2
1/02/2024,18556,18,6.5
1/02/2024,18578,18,5.99
1/02/2024,18670,18,6.99
1/02/2024,20702,18,6.5
1/02/2024,20704,18,6.99
1/02/2024,20707,18,7.49
1/02/2024,20717,18,7.99
1/02/2024,20722,18,8
1/02/2024,20723,18,7.5
1/02/2024,20731,18,7.99
1/02/2024,20735,18,7.99
1/02/2024,20736,18,6.3
1/02/2024,20739,18,6.99
1/02/2024,20741,18,6.99
1/02/2024,20742,18,6.99
1/02/2024,20743,18,6.99
1/02/2024,20748,18,7.99
1/02/2024,20749,18,6.99
1/02/2024,20750,18,7.59
1/02/2024,20757,18,6.99
1/02/2024,20759,18,6.99
1/02/2024,20760,18,6.99
1/02/2024,20761,18,5.99
1/02/2024,20767,18,6.99
1/02/2024,20768,18,6.99
1/02/2024,20769,18,6.99
1/02/2024,20773,18,6.99
1/02/2024,20774,18,5.99
1/02/2024,20776,18,6.99
1/02/2024,20777,18,7.49
1/02/2024,20786,18,7.99
1/02/2024,20788,18,6.99
1/02/2024,20791,18,7.39
1/02/2024,20792,18,5.99
1/02/2024,20802,18,6.9
1/02/2024,20803,18,6.99
1/02/2024,20804,18,6.99
1/02/2024,20805,18,6
1/02/2024,20806,18,7
1/02/2024,20807,18,5.99
1/02/2024,20808,18,6.99
1/02/2024,20812,18,6.5
1/02/2024,20828,18,8
1/02/2024,20830,18,8.1
1/02/2024,20831,18,7.69
1/02/2024,20853,18,7
1/02/2024,20857,18,6.9
1/02/2024,20860,18,6.99
1/02/2024,20861,18,7.5
1/02/2024,20876,18,6.99
1/02/2024,20883,18,8.3
1/02/2024,20895,18,6.49
1/02/2024,20902,18,8.3
1/02/2024,20903,18,5.99
2/02/2024,2,18,6
2/02/2024,3,18,10.5
2/02/2024,176,18,6.99
2/02/2024,183,18,7.5
2/02/2024,234,18,4
2/02/2024,261,18,6.99
2/02/2024,322,18,5.8
2/02/2024,342,18,7
2/02/2024,351,18,6.99
2/02/2024,354,18,6
2/02/2024,364,18,4
2/02/2024,368,18,6.5
2/02/2024,380,18,8.9
2/02/2024,382,18,6.5
2/02/2024,424,18,7
2/02/2024,429,18,8.9
2/02/2024,431,18,7
2/02/2024,434,18,6
2/02/2024,435,18,8.9
2/02/2024,439,18,5.99
2/02/2024,494,18,8.6
2/02/2024,506,18,6.99
2/02/2024,524,18,7
2/02/2024,529,18,6
2/02/2024,569,18,6.9
2/02/2024,588,18,6.99
2/02/2024,589,18,6
2/02/2024,591,18,4.88
2/02/2024,600,18,6.5
2/02/2024,633,18,7
2/02/2024,656,18,5.9
2/02/2024,660,18,6.5
2/02/2024,720,18,6.5
2/02/2024,725,18,6.9
2/02/2024,729,18,7.9
2/02/2024,766,18,6
2/02/2024,777,18,7
2/02/2024,864,18,7.3
2/02/2024,907,18,6.29
2/02/2024,930,18,7.29
2/02/2024,1053,18,6
2/02/2024,1054,18,6.49
2/02/2024,1133,18,6
2/02/2024,1135,18,5.99
2/02/2024,1164,18,6
2/02/2024,1170,18,6
2/02/2024,1212,18,6.5
2/02/2024,1259,18,6.99
2/02/2024,1267,18,6
2/02/2024,1284,18,7
2/02/2024,1361,18,6.99
2/02/2024,1407,18,6.8
2/02/2024,1517,18,6
2/02/2024,1527,18,6.9
2/02/2024,1652,18,5
2/02/2024,1713,18,6
2/02/2024,1779,18,6
2/02/2024,1789,18,6.5
2/02/2024,1815,18,5
2/02/2024,1826,18,6
2/02/2024,1959,18,6.5
2/02/2024,1960,18,7.5
2/02/2024,1961,18,6.5
2/02/2024,1962,18,6.9
2/02/2024,1972,18,7.5
2/02/2024,1980,18,6.58
2/02/2024,2007,18,6
2/02/2024,2020,18,4.5
2/02/2024,2034,18,6.99
2/02/2024,2048,18,7.5
2/02/2024,2062,18,8
2/02/2024,2161,18,7
2/02/2024,2213,18,6
2/02/2024,2280,18,8.5
2/02/2024,2510,18,7
2/02/2024,2517,18,5
2/02/2024,2530,18,7
2/02/2024,2554,18,5.9
2/02/2024,2560,18,7.39
2/02/2024,2623,18,5
2/02/2024,2641,18,5
2/02/2024,2657,18,5.59
2/02/2024,2661,18,6
2/02/2024,2670,18,5.99
2/02/2024,2685,18,6
2/02/2024,2772,18,6.9
2/02/2024,2775,18,6.5
2/02/2024,2955,18,6.5
2/02/2024,2983,18,4
2/02/2024,2984,18,6.99
2/02/2024,2993,18,5
2/02/2024,3003,18,9.4
2/02/2024,3041,18,6.99
2/02/2024,3051,18,5
2/02/2024,3103,18,7.49
2/02/2024,3130,18,9
2/02/2024,3150,18,8.9
2/02/2024,3178,18,8.9
2/02/2024,3181,18,6
2/02/2024,3195,18,7
2/02/2024,3204,18,7.5
2/02/2024,3214,18,6.9
2/02/2024,3251,18,8
2/02/2024,3265,18,6.5
2/02/2024,3302,18,7
2/02/2024,3305,18,8
2/02/2024,3318,18,7.9
2/02/2024,3336,18,7.5
2/02/2024,3346,18,6.5
2/02/2024,3399,18,7
2/02/2024,3438,18,7
2/02/2024,3444,18,6.99
2/02/2024,3541,18,7
2/02/2024,3587,18,7.8
2/02/2024,3662,18,5
2/02/2024,3692,18,7.5
2/02/2024,3702,18,5
2/02/2024,3725,18,5
2/02/2024,3727,18,6.9
2/02/2024,3770,18,7
2/02/2024,3870,18,6
2/02/2024,3901,18,6.99
2/02/2024,3904,18,8.9
2/02/2024,4069,18,8.5
2/02/2024,4097,18,7
2/02/2024,4110,18,7
2/02/2024,4118,18,6
2/02/2024,4129,18,7
2/02/2024,4195,18,5
2/02/2024,4197,18,7
2/02/2024,4231,18,6.5
2/02/2024,4296,18,6.8
2/02/2024,4304,18,8.9
2/02/2024,4313,18,5
2/02/2024,4315,18,7.99
2/02/2024,4324,18,6
2/02/2024,4387,18,7.5
2/02/2024,4496,18,6.5
2/02/2024,4505,18,6.5
2/02/2024,4507,18,6
2/02/2024,4547,18,6.5
2/02/2024,4633,18,7
2/02/2024,4648,18,7.5
2/02/2024,4664,18,6
2/02/2024,4667,18,6.5
2/02/2024,4767,18,6
2/02/2024,4970,18,6
2/02/2024,5086,18,7
2/02/2024,5093,18,8.9
2/02/2024,5137,18,6.99
2/02/2024,5179,18,7.99
2/02/2024,5190,18,7
2/02/2024,5204,18,6.9
2/02/2024,5221,18,6
2/02/2024,5257,18,6.5
2/02/2024,5274,18,7.99
2/02/2024,5278,18,7.99
2/02/2024,5325,18,6.99
2/02/2024,5355,18,6.99
2/02/2024,5377,18,7.99
2/02/2024,5414,18,6.99
2/02/2024,5433,18,7.49
2/02/2024,5488,18,6.99
2/02/2024,5532,18,6
2/02/2024,5816,18,7
2/02/2024,5823,18,6.99
2/02/2024,5836,18,6
2/02/2024,5857,18,6.99
2/02/2024,5870,18,5.9
2/02/2024,5880,18,7
2/02/2024,5895,18,6.58
2/02/2024,5980,18,7
2/02/2024,6136,18,4
2/02/2024,6525,18,6.58
2/02/2024,6941,18,8.5
2/02/2024,6961,18,7
2/02/2024,7040,18,6.99
2/02/2024,7280,18,5.99
2/02/2024,7283,18,6.5
2/02/2024,7349,18,6.9
2/02/2024,7472,18,6
2/02/2024,7826,18,8
2/02/2024,7922,18,7.5
2/02/2024,7961,18,6
2/02/2024,7983,18,7
2/02/2024,7995,18,7
2/02/2024,7997,18,7
2/02/2024,8176,18,7
2/02/2024,8359,18,8
2/02/2024,8616,18,7
2/02/2024,8757,18,7
2/02/2024,8908,18,6.5
2/02/2024,9548,18,6.99
2/02/2024,9944,18,6
2/02/2024,10131,18,6.9
2/02/2024,10197,18,6.5
2/02/2024,10203,18,6.99
2/02/2024,10855,18,6.99
2/02/2024,11222,18,7.49
2/02/2024,11423,18,7.5
2/02/2024,11509,18,6.58
2/02/2024,11511,18,6.99
2/02/2024,11513,18,7.5
2/02/2024,11517,18,6.99
2/02/2024,11536,18,6
2/02/2024,11537,18,7.5
2/02/2024,11540,18,6.99
2/02/2024,11543,18,5.5
2/02/2024,11551,18,6
2/02/2024,11564,18,9
2/02/2024,11567,18,8.99
2/02/2024,11569,18,7.49
2/02/2024,11580,18,7.5
2/02/2024,11581,18,6
2/02/2024,11586,18,6
2/02/2024,11588,18,6.99
2/02/2024,11614,18,8.5
2/02/2024,11616,18,6
2/02/2024,11617,18,7
2/02/2024,11622,18,9
2/02/2024,11624,18,8.5
2/02/2024,11627,18,6.5
2/02/2024,11630,18,6.9
2/02/2024,11631,18,6.5
2/02/2024,11656,18,6.5
2/02/2024,11664,18,6.99
2/02/2024,11677,18,6
2/02/2024,11703,18,6.3
2/02/2024,11726,18,5
2/02/2024,11728,18,7
2/02/2024,11737,18,6.5
2/02/2024,11786,18,6.5
2/02/2024,11874,18,7
2/02/2024,11893,18,6
2/02/2024,11956,18,6.5
2/02/2024,12000,18,6
2/02/2024,12002,18,7.5
2/02/2024,12024,18,6.5
2/02/2024,12025,18,7.39
2/02/2024,12028,18,7
2/02/2024,12713,18,6.99
2/02/2024,12740,18,7
2/02/2024,12742,18,6.99
2/02/2024,13081,18,6.5
2/02/2024,13120,18,6.99
2/02/2024,13526,18,7.3
2/02/2024,13715,18,7.99
2/02/2024,13788,18,6.9
2/02/2024,13941,18,5.49
2/02/2024,14213,18,6.99
2/02/2024,14237,18,6.99
2/02/2024,14371,18,6.99
2/02/2024,14406,18,6.2
